[2016/1/31 - 8:41:56] tamhoang_diep (ID: 10 | SQL ID: 31 | Level: 3 | IP: 42.119.212.60) has disconnected.
[2016/1/31 - 8:42:46] tamhoang_diep (ID: 9 | SQL ID: 31 | Level: 3 | IP: 42.119.212.60) has logged in.
[2016/1/31 - 8:42:49] Arteezy_Yaphets (ID: 8 | SQL ID: 24 | Level: 3 | IP: 113.173.75.201) has logged in.
[2016/1/31 - 8:45:44] Kien_Dat (ID: 10 | SQL ID: 33 | Level: 1 | IP: 113.161.71.225) has logged in.
[2016/1/31 - 8:47:16] Arteezy_Yaphets (ID: 8 | SQL ID: 24 | Level: 3 | IP: 113.173.75.201) has disconnected.
[2016/1/31 - 8:47:25] Yasuka_khu (ID: 14 | SQL ID: 34 | Level: 1 | IP: 116.106.54.47) has logged in.
[2016/1/31 - 8:48:27] Nguyen_Bon (ID: 4 | SQL ID: 20 | Level: 3 | IP: 117.3.103.168) has disconnected.
[2016/1/31 - 8:49:11] Nguyen_Huy (ID: 20 | SQL ID: 11 | Level: 3 | IP: 117.3.103.168) has disconnected.
[2016/1/31 - 8:49:50] Old_Dog (ID: 19 | SQL ID: 32 | Level: 3 | IP: 117.3.62.211) has disconnected.
[2016/1/31 - 8:51:15] Nguyen_Huy (ID: 4 | SQL ID: 11 | Level: 3 | IP: 117.3.103.168) has logged in.
[2016/1/31 - 8:51:54] Nguyen_Bon (ID: 8 | SQL ID: 20 | Level: 3 | IP: 117.3.103.168) has logged in.
[2016/1/31 - 8:52:30] Ecxiter_LAT (ID: 18 | SQL ID: 35 | Level: 1 | IP: 115.77.109.35) has logged in.
[2016/1/31 - 8:53:50] Nguyen_Bon (ID: 8 | SQL ID: 20 | Level: 3 | IP: 117.3.103.168) has been kicked/banned.
[2016/1/31 - 8:54:44] Nguyen_Bon (ID: 8 | SQL ID: 20 | Level: 3 | IP: 117.3.103.168) has logged in.
[2016/1/31 - 8:55:03] Nguyen_Bon (ID: 8 | SQL ID: 20 | Level: 3 | IP: 117.3.103.168) has timed out.
[2016/1/31 - 8:55:07] Ecxiter_LAT (ID: 18 | SQL ID: 35 | Level: 3 | IP: 115.77.109.35) has disconnected.
[2016/1/31 - 8:55:39] Yasuka_khu (ID: 14 | SQL ID: 34 | Level: 3 | IP: 116.106.54.47) has disconnected.
[2016/1/31 - 8:55:49] Winx_Hoang (ID: 8 | SQL ID: 36 | Level: 1 | IP: 117.3.0.39) has logged in.
[2016/1/31 - 8:56:15] Yasuka_khu (ID: 14 | SQL ID: 34 | Level: 3 | IP: 116.106.54.47) has logged in.
[2016/1/31 - 8:56:49] Minh_Alaxander (ID: 2 | SQL ID: 13 | Level: 3 | IP: 14.185.144.246) has disconnected.
[2016/1/31 - 8:56:49] An_Nguyen (ID: 11 | SQL ID: 10 | Level: 3 | IP: 116.106.54.47) has timed out.
[2016/1/31 - 8:57:03] Du_Hoa_Chibi (ID: 16 | SQL ID: 3 | Level: 3 | IP: 116.98.156.173) has disconnected.
[2016/1/31 - 8:57:15] An_Nguyen (ID: 2 | SQL ID: 10 | Level: 3 | IP: 116.106.54.47) has logged in.
[2016/1/31 - 8:59:03] Sip_Do (ID: 16 | SQL ID: 37 | Level: 1 | IP: 14.168.153.248) has logged in.
[2016/1/31 - 8:59:10] Huynh_Nhu (ID: 18 | SQL ID: 38 | Level: 1 | IP: 115.78.114.87) has logged in.
[2016/1/31 - 8:59:31] Leo_Trong (ID: 11 | SQL ID: 39 | Level: 1 | IP: 1.53.232.176) has logged in.
[2016/1/31 - 8:59:47] Ly_Mac_Sau (ID: 12 | SQL ID: 21 | Level: 3 | IP: 115.79.40.252) has timed out.
[2016/1/31 - 9:02:15] Old_Dog (ID: 12 | SQL ID: 32 | Level: 3 | IP: 117.3.62.211) has logged in.
[2016/1/31 - 9:03:13] Join_John (ID: 19 | SQL ID: 40 | Level: 1 | IP: 115.79.61.2) has logged in.
[2016/1/31 - 9:03:29] Ly_Mac_Buon (ID: 17 | SQL ID: 28 | Level: 3 | IP: 115.79.40.252) has disconnected.
[2016/1/31 - 9:05:04] Leo_Ken (ID: 17 | SQL ID: 41 | Level: 1 | IP: 1.53.232.176) has logged in.
[2016/1/31 - 9:05:13] Leo_Trong (ID: 11 | SQL ID: 39 | Level: 3 | IP: 1.53.232.176) has been kicked/banned.
[2016/1/31 - 9:05:21] Leo_Ken (ID: 17 | SQL ID: 41 | Level: 1 | IP: 1.53.232.176) has disconnected.
[2016/1/31 - 9:06:09] Ya_TGR (ID: 17 | SQL ID: 42 | Level: 1 | IP: 1.53.232.176) has logged in.
[2016/1/31 - 9:06:13] Leo_Thang (ID: 11 | SQL ID: 43 | Level: 1 | IP: 1.53.232.176) has logged in.
[2016/1/31 - 9:07:18] Old_Dog (ID: 12 | SQL ID: 32 | Level: 3 | IP: 117.3.62.211) has been kicked/banned.
[2016/1/31 - 9:07:28] Jack_KullN (ID: 20 | SQL ID: 6 | Level: 3 | IP: 27.75.105.47) has logged in.
[2016/1/31 - 9:08:05] Modding_Erro (ID: 12 | SQL ID: 30 | Level: 1 | IP: 180.93.100.154) has logged in.
[2016/1/31 - 9:08:17] Modding_Erro (ID: 12 | SQL ID: 30 | Level: 1 | IP: 180.93.100.154) has timed out.
[2016/1/31 - 9:09:11] TOny_Boy (ID: 12 | SQL ID: 19 | Level: 3 | IP: 113.188.152.124) has logged in.
[2016/1/31 - 9:09:23] Modding_Erro (ID: 21 | SQL ID: 30 | Level: 1 | IP: 180.93.100.154) has logged in.
[2016/1/31 - 9:09:28] Kien_Dat (ID: 10 | SQL ID: 33 | Level: 3 | IP: 113.161.71.225) has disconnected.
[2016/1/31 - 9:09:35] Modding_Erro (ID: 21 | SQL ID: 30 | Level: 1 | IP: 180.93.100.154) has timed out.
[2016/1/31 - 9:10:04] Johns_Smith (ID: 10 | SQL ID: 44 | Level: 1 | IP: 113.161.198.219) has logged in.
[2016/1/31 - 9:10:11] Kien_Dat (ID: 21 | SQL ID: 33 | Level: 3 | IP: 113.161.71.225) has logged in.
[2016/1/31 - 9:10:28] Yasuka_khu (ID: 14 | SQL ID: 34 | Level: 3 | IP: 116.106.54.47) has been kicked/banned.
[2016/1/31 - 9:10:35] Modding_Erro (ID: 22 | SQL ID: 30 | Level: 1 | IP: 180.93.100.154) has logged in.
[2016/1/31 - 9:11:06] Yasuka_khu (ID: 14 | SQL ID: 34 | Level: 3 | IP: 116.106.54.47) has logged in.
[2016/1/31 - 9:11:48] Yasuka_khu (ID: 14 | SQL ID: 34 | Level: 3 | IP: 116.106.54.47) has been kicked/banned.
[2016/1/31 - 9:12:08] Old_Dog (ID: 14 | SQL ID: 32 | Level: 3 | IP: 117.3.62.211) has logged in.
[2016/1/31 - 9:12:25] Yasuka_khu (ID: 23 | SQL ID: 34 | Level: 3 | IP: 116.106.54.47) has logged in.
